# dictionary from http://www.esperanto-panorama.net/vortaro/eoen.htm
# Rimarkoj al: XGodivier"@"esperanto.org. (sen " ")
# Link to this page: Por fari ligon al tiu TTT-ejo:
# http://purl.org/net/panorama/vortaro/eoen.htm (unicode)
# http://purl.org/net/panorama/vortaro/xeoen.htm (x) 
        abako                          abacus
        surinamano                     Surinamer, Surinamese
        Surinamo                       Surinam
        surirebla                      passable, practicable
        suriri                         tread, walk, walk upon
        surkonstruita areo             built-up area
        surkreskata                    covered, grown over, overgrown
        surkreski                      overgrow
        surmeti                        put on
        suro                           calf
        surpaperigi                    print
        surpentri                      paint over
        surpresi                       print
        surpriza                       startling, surprising
        surprize                       aback
        surprizi                       surprise
        surprizo                       surprise
        surprovi                       try on
        surradiado                     irradiation
        surradii                       irradiate, shine upon
        surskribi                      write upon
        surskribo                      superscription
        surŝipe                        on board
        surŝprucigi                    spatter, bespatter, splash, sprinkle
        surtabligi                     serve
        surtera                        terrestrial
        surteriĝi                      land
        surteriĝo                      landing
        surtroniĝo                     accession
        surtuto                        coat, overcoat
        surverŝi                       water
        surveturi                      run over
        suspektema                     suspicious
        suspekti                       suspect
        suspektinda                    suspicious
        suspekto                       suspicion
        suspendi                       postpone
        suspendita                     in abeyance
        suspiri                        sigh
        susuri                         rustle, swish
        susuro                         rustle, swish
        suturi                         seam, suture
        suturo                         seam, suture
        suverena                       sovereign
        suvereno                       sovereign
        svahila                        Swahili
        svahilo                        Swahili
        Svalbardo                      Spitsbergen
        svarmi                         abound, swarm
        svarmo                         swarm
        svati                          match, match-make
        svatistino                     match-maker
        svatisto                       match-maker
        svazia                         Swazi
        svazia lingvo                  Swazi, Swazi language
        Svazilando                     Swaziland
        sveda                          Swedish
        Svedio                         Sweden
        Svedlando                      Sweden
        svedo                          Swede
        Svedujo                        Sweden
        svelta                         slender, slim
        sveltiĝadi                     slim
        sveni                          faint, swoon
        sveniga cerefolio              hemlock
        svenigi                        drug, intoxicate, stun, stupefy
        sveninta                       unconscious
        sveno                          faint, swoon
        svingi                         brandish, fling, swing, wave, wave about
        svingiĝi                       sway, swing
        svingpendi                     swing
        svingsaluti                    wave
        svisa                          Swiss
        Svisio                         Switzerland
        Svislando                      Switzerland
        sviso                          Swiss
        Svisujo                        Switzerland
        ŝabano                         Sha'ban
        ŝablono                        pattern, stencil, template, templet
        ŝafaĵo                         mutton
        ŝafbleki                       bleat
        ŝafejo                         fold, pen
        ŝafhundo                       sheep-dog
        ŝafida                         lamb, of lamb
        ŝafidaĵo                       lamb
        ŝafido                         lamb
        ŝafisto                        shepherd
        ŝafo                           sheep
        ŝafto                          arbor, shaft, spindle
        ŝaho                           shah
        ŝajne                          apparently, seemingly
        ŝajni                          appear, appear to be, seem
        ŝajnigi                        feign, pretend
        ŝajno                          appearance
        ŝakalo                         jackal
        ŝaki                           check
        ŝako                           chess
        ŝakri                          peddle
        ŝaktabulo                      chessboard, chess-board
        ŝakto                          shaft
        ŝalo                           shawl
        ŝalti                          switch, turn on
        ŝaltilo                        switch
        ŝalupego                       launch, longboat
        ŝalupo                         boat, ship's boat, shallop, sloop
        ŝamano                         shaman
        ŝamo                           chamois, chamois leather
        ŝampinjono                     mushroom
        ŝampui                         shampoo
        ŝampuo                         shampoo
        ŝanceli                        shake
        ŝanceliĝanta                   hesitant
        ŝanceliĝema                    indecisive
        ŝanceliĝemo                    infirmity of purpose, indecision, irresolution
        ŝanceliĝi                      hesitate, waver
        ŝanco                          chance, luck
        ŝanĝi                          change, turn
        ŝanĝiĝi                        change
        ŝanĝiĝo                        alteration, change, conversion, transformation
        ŝanĝmono                       change
        ŝanĝo                          about-face, alteration, change, conversion, transformation
        ŝanhajo                        Shanghai
        ŝargi                          charge, load
        ŝarĝanta                       carrying, loaded with
        ŝarĝaŭto                       lorry, truck
        ŝarĝbiciklo                    carrier cycle, carrier tricycle
        ŝarĝi                          burden, load
        ŝarĝo                          burden, charge, load
        ŝarko                          shark
        ŝatateco                       esteem, regard, respect
        ŝategi                         be fond of, love
        ŝati                           appreciate, like
        ŝatinda                        likable
        ŝaŭma                          effervescent, sparkling
        ŝaŭmi                          foam, froth
        ŝaŭmo                          foam, froth
        ŝedo                           penthouse, shed
        ŝejko                          sheik, sheikh
        ŝelkoj                         braces, suspenders
        ŝelo                           bark, husk, peel, shell
        ŝenoprazo                      chive
        ŝercaĵo                        gag, joke
        ŝercema                        jocular, playful
        ŝerci                          jest, joke
        ŝerco                          gag, joke
        ŝerifo                         sheriff
        ŝetlandinsularo                Shetland Islands
        ŝi                             her, she
        ŝia                            her
        ŝika                           chic
        ŝildo                          shield, sign-board
        ŝilingo                        shilling
        ŝima                           moldy, mouldy
        ŝima odoro                     moldy smell, mouldy smell
        ŝimi                           get moldy, get mouldy
        ŝimo                           mold, mould
        ŝin                            her
        ŝindo                          shingle
        ŝinko                          ham
        ŝintoismo                      Shintoism
        ŝipanaro                       crew
        ŝiparo                         fleet
        ŝipe                           by ship
        ŝipestro                       captain
        ŝipisto                        sailor
        ŝipo                           ship, vessel
        ŝippereo                       shipwreck
        ŝipripo                        frame, timber
        ŝipsava kompanio               salvage company
        ŝipsava ŝipo                   salvage vessel, salvor
        ŝipveturi laŭflue sur          go down
        ŝiraĵo                         tear
        ŝiri                           rip, tear
        ŝiriĝinta                      torn
        ŝirita                         torn
        ŝirmejo                        shelter
        ŝirmi                          shelter, protect
        ŝirmi sin                      shelter
        ŝirmi sin kontraŭ              protect from, ward off
        ŝirmilo                        shelter
        ŝirmo                          protection, shelter
        ŝirmtegaĵo                     dust-sheet, loose cover
        ŝlesvigo-Holŝtejno             Schleswig-Holstein
        ŝlimo                          mud, slime
        ŝlosi                          lock
        ŝlosilo                        key, wrench
        ŝlosita                        locked
        ŝmaci                          smack
        ŝminki                         make up
        ŝminki sin                     put on make-up
        ŝminko                         make up, make-up
        ŝmiraĵo                        ointment
        ŝmiri                          anoint, smear, spread
        ŝnuro                          cord, rope, string
        ŝnursalti                      skip rope
        ŝnurŝtupetaro                  accommodating ladder
        ŝoforo                         chauffeur, driver
        ŝoguno                         shogun
        ŝokanta                        offensive
        ŝoki                           shock
        ŝokiĝi                         resent, take exception, take offence
        ŝoko                           shock
        ŝoseo                          highway
        ŝoso                           shoot
        ŝoveli                         shovel
        ŝovelilo                       shovel
        ŝovi                           push along, shove
        ŝovinismo                      chauvinism
        ŝovinisto                      chauvinist
        ŝovsulko                       slot
        ŝparado                        economy, saving
        ŝparema                        thrifty
        ŝpari                          save, spare
        ŝparo                          economy, saving
        ŝpato                          spade
        ŝpini                          spin
        ŝpinilo                        spindle
        ŝpinrado                       spinning wheel, spinning-wheel
        ŝprucakvumi                    water
        ŝprucakvumo                    watering
        ŝpruci                         gush, spurt, spurt out
        ŝprucigi                       squirt
        ŝprucilo                       nozzle
        ŝranklito                      cupboardbed
        ŝranko                         cabinet, closet, cupboard, sideboard
        ŝrapnelo                       shrapnel
        ŝraŭbi                         screw
        ŝraŭbi pli firme               screw home
        ŝraŭbingo                      nut
        ŝraŭbo                         screw
        ŝraŭbŝlosilo                   adjustable wrench, spanner
        ŝraŭbtenilo                    vice
        ŝraŭbturnilo                   screwdriver
        ŝrumpi                         shrink, shrivel up
        ŝtala                          steal, of steal
        ŝtalo                          steel
        ŝtataneco                      nationality
        ŝtatestro                      head of state
        ŝtatigi                        nationalize
        ŝtatigo                        nationalization
        ŝtato                          state
        ŝtele                          stealthily
        ŝteli                          steal
        ŝteliri                        steal
        ŝteliri al                     stalk
        ŝtelistino                     thief, female thief
        ŝtelisto                       thief
        ŝtelo                          abstraction, theft
        ŝtelrampi al                   come over
        ŝtelrigardi                    crib
        ŝtiparo                        woodpile
        ŝtipo                          block, chunk of wood
        ŝtofo                          cloth, material
        ŝtona                          metalled, stone
        ŝtonego                        boulder
        ŝtonetaro                      broken stones, chippings, road-metal, rubble, stone-chippings
        ŝtonhakisto                    stone-cutter, stonemason
        ŝtoniĝinta                     petrified
        ŝtono                          stone
        ŝtopi                          block, clog, plug up, stop up
        ŝtopilingo                     electric socket
        ŝtopilo                        plug, electric plug, stopper
        ŝtormo                         storm
        ŝtrumpeto                      sock
        ŝtrumpo                        stocking
        ŝtuparo                        staircase, stairs
        ŝtupetaro                      ladder
        ŝtupo                          stair, step, rung
        ŝufaristo                      shoemaker
        ŝuisto                         shoemaker
        ŝukorno                        shoe-horn, shoe-lift
        ŝulaĉo                         shoe-lace
        ŝuldi                          owe
        ŝuldo                          debt
        ŝultro                         shoulder
        ŝultrolevi                     shrug
        ŝultrozono                     bandoleer, shoulder-belt
        ŝuo                            shoe
        ŝuti                           dump, pour, pour out, scatter
        ŝvabio                         Swabia
        ŝvabrileto                     dish-mop
        ŝvabujo                        Swabia
        ŝvebi                          float, hover
        ŝveli                          swell
        ŝveligi                        inflate
        ŝviti                          sweat
        ŝvito                          perspiration, sweat
        T-ĉemizo                       T-shirt
        tabakaĵbutiko                  tobacconist's
        tabako                         tobacco
        tabano                         gadfly, gad-fly, horsefly, horse-fly
        tabelkalkula programo          spreadsheet programme
        tabelo                         index, table, tablet, tabulation
        tabernaklo                     tabernacle
        tablo                          table
        tablotuko                      table-cloth
        tabula bordkovraĵo             campsheeting, campshedding, campshot
        tabulo                         board, plank
        tabureto                       stool
        taĉmento                       detachment
        tagbileto                      day-ticket
        tage                           by day, in the daytime
        tageto                         African marigold
        tagiĝo                         dawn, daybreak
        taglibro                       diary
        taglumo                        daylight
        tagmanĝo                       dinner, midday meal
        tagmezo                        midday, noon
        Tago                           Tagus
        Tago de la Mortintoj           All Souls' Day
        Tago de la Patrinoj            Mother's Day
        Tago de Pekliberigo            Day of Atonement, Feast of Expiation
        tagordo                        agenda
        Taĝikio                        Tadzhikistan
        taĝiko                         Tadzhik
        Taĝikujo                       Tadzhikistan
        Tahito                         Tahiti
        Taĥo                           Tagus
        taja                           Thai
        taja lingvo                    Thai, Thai language
        Taja Novjaro                   Thai New Year
        tajdo                          tide
        tajino                         Thai woman
        Tajlanda Golfo                 Gulf of Thailand
        tajlanda lingvo                Thai, Thai language
        Tajlando                       Siam, Thailand
        tajli                          cut, polish
        tajlori                        tailor
        tajlorino                      tailor, female tailor
        tajloro                        tailor
        tajo                           Thai
        tajpi                          type
        tajpistino                     typist
        tajvana                        Taiwanese
        tajvanano                      Taiwanese
        Tajvano                        Taiwan
        taksi                          appraise, estimate, rate
        taksiisto                      taxidriver, taxi-driver
        taksio                         taxi
        taksistacio                    cab-stand
        taksisto                       appraiser
        taksuso                        yew-tree
        taktiko                        tactic, tactics
        takto                          musical time, tact
        talenta                        talented
        talento                        talent
        talentplena                    gifted, talented
        talio                          waist, waistline
        taliumo                        thallium
        Talmudo                        Talmud
        talpo                          mole
        tamariko                       tamarisk
        tambono                        tambon
        tamburino                      tambourine, timbrel
        tamburisto                     drummer
        tamburo                        drum
        tamen                          but, however, nevertheless, yet
        Tamizo                         Thames
        tampono                        plug, tampon
        tango                          tango
        Tanĝero                        Tangier
        tani                           tan
        tanino                         tannin
        tanko                          tank
        Tantalo                        Tantalus
        tanzania                       Tanzanian
        tanzaniano                     Tanzanian
        Tanzanio                       Tanzania
        tapeti                         paper
        tapetisto                      paperer, paper-hanger
        tapeto                         tapestry, wall covering
        tapiŝo                         carpet
        tarantulo                      tarantula
        taski                          assign
        tasko                          job, assigned job, task
        tasmania                       Tasmanian
        tasmaniano                     Tasmanian
        Tasmanio                       Tasmania
        taso                           cup
        Taŝkento                       Tashkend, Tashkent
        tatara                         Tatar
        tataro                         Tartar
        taŭga                          of use, suitable
        taŭgeco                        ability, capability, fitness, suitability
        taŭgi                          fit, suit, be suitable
        taŭro                          bull
        taŭrobatala areno              bullring
        taŭrobatalejo                  bullring
        taŭzi                          dishevel, tousle
        taverno                        inn, tavern
        tavolo                         layer
        teamo                          team
        teatra                         theatrical
        teatraĵo                       play, theatre play
        teatro                         theatre
        teda                           boring, stodgy, tiresome
        tedaĵoj                        fuss
        tede banala                    hackneyed, hard-worked, stale, trite, worn-out
        tedi                           bore
        teejo                          tea-house
        tegi                           cover, overlay
        tegilo                         cover, protective cover
        tegmento                       roof
        tegumento                      cover
        Teĥrano                        Teheran
        teknecio                       technetium
        teknika                        technical
        tekniko                        technics, technique
        teknologio                     technology
        teko                           briefcase, file
        tekruĉo                        teapot
        teksaĵo                        fabric, textile
        teksasanino                    Texan woman
        teksasano                      Texan
        Teksaso                        Texas
        teksi                          weave
        teksilo                        loom
        teksti                         read, say
        tekstilaĵoj                    textile
        teksto                         lyric, text
        tekstprilabora programeto      editor
        tektono                        teak tree
        tekulero                       teaspoon
        telefonbudo                    call box, telephone kiosk, phone booth, telephone booth
        telefoni                       telephone
        telefono                       telephone
        telefunkciigo                  remote control
        telegrafi                      telegraph
        telegrafo                      telegraph
        telegramo                      telegram
        telemetrio                     telemetry
        telereto                       saucer, small plate
        telerlavilo                    dishwashing brush
        telero                         plate
        telerrako                      draining board, drainer
        teleskopo                      telescope
        telestirado                    remote control
        televida anteno                television aerial, television antenna
        televida filmo                 TV film, TV movie, television film, television movie
        televidi                       see on television
        televidilo                     TV set, television set
        televido                       television, TV
        teluro                         tellurium
        temas pri                      it's a matter of
        temo                           theme, topic, subject
        temperamento                   temperament
        temperaturo                    temperature
        tempesto                       storm, tempest
        tempio                         temple
        templo                         temple
        tempo                          time, while
        tempo por pripensi             time to consider
        tenajlo                        pincers, pair of pincers
        tenaro                         ball, ball of the thumb
        tendaro                        camp of tents, tented camp
        tendenca                       biased, tendencious, tendentious
        tendenco                       tendency
        tendeno                        sinew, string, tendon
        tendi                          camp
        tendo                          tent
        Tendofesto                     Feast of Tabernacles
        tendumi                        camp
        tenebro                        darkness
        tenejo                         depository
        tenereco                       tenderness
        teni                           hang onto, hold
        teni brulanta                  keep ... burning
        tenilo                         handle, knob
        teniso                         tennis
        tenoro                         tenor
        tensio                         tension, voltage
        tenti                          entice, tempt
        tento                          temptation
        teo                            tea
        teokratio                      theocracy
        teologio                       theology
        teologo                        theologian
        teoremo                        theorem
        teoria                         abstract
        teorie                         in the abstract
        teorio                         theory
        tepoto                         teapot
        tera                           earthen, earthly, terrestrial
        tera akso                      axis of the earth, earth's axis
        terapio                        therapy
        teraso                         terrace
        terbio                         terbium
        terbulo                        clod of earth, lump of earth
        tereno                         ground, grounds, terrain
        teretaĝo                       ground-floor
        tergaso                        natural gas
        tergloba                       terrestrial
        terglobo                       globe, worldglobe
        tergrundo                      earth
        teritoria                      territorial
        teritorio                      territory
        terkonekti                     earth, ground
        terkonekto                     earth connection, earthing, earth wire, grounding, ground wire
        terkrusto                      earth's crust, crust of the earth
        terkultivisto                  farmer
        terkulturisto                  farmer
        terminalo                      terminal
        terminaro                      glossary, terminology
        termino                        term
        termito                        termite
        termometro                     thermometer
        termoso                        thermos bottle
        termostato                     thermostat
        terni                          sneeze
        ternivelo                      first floor, ground floor, ground level
        terno                          sneeze
        ternukso                       ground-nut
        tero                           earth, land, soil
        terorismo                      terrorism
        teroristo                      terrorist
        teroro                         terror, reign of terror
        terpeko                        asphalt, bitumen
        terpoma faruno                 potato flour
        terpoma kaĉo                   mashed potatoes
        terpomo                        potato
        terpomsenŝeliga tranĉilo       potato peeler
        terpomŝimo                     potato blight, potato disease, potato rot
        terskuo                        earthquake shock
        Tersolo                        Tersoal, Terzool
        terŝoviĝo                      landslide
        tertavolo                      layer, layer of earth
        tertestudo                     land tortoise
        Tertiaro                       Tertiary
        tertremo                       earthquake
        terura                         abysmal, dreadful, gruesome, horrible, terrible
        terure                         awfully
        terurega                       hideous, horrible, ghastly
        teruregaĵo                     abhorrence, abomination
        terurego                       abhorrence, horror
        teruri                         frighten, terrify
        teruriĝinta                    startled
        terurita                       startled
        teruro                         terror
        tervermo                       earthworm
        terzono                        zone
        testamenti                     bequeath, make a will
        testamento                     testament, will
        testi                          test
        testiko                        testicle
        testo                          test
        testudo                        tortoise
        teujo                          tea-pot
        tezo                           essay, thesis
        tia                            such, such a, that kind of
        tial                           therefore
        tial ke                        because, for the reason that
        tiam                           then
        tiamaniere                     in that way, this way, like this, thus
        Tiberio                        Tiberius
        Tibero                         Tiber
        tibeta                         Tibetan
        tibetanino                     Tibetan woman
        tibetano                       Tibetan
        Tibeto                         Tibet
        tibiingo                       gaiter, legging
        tibio                          shin-bone, tibia
        tie                            there, over there, yonder
        tie ĉi                         here
        tie kaj tie                    here and there
        tie[1]                         there
        tie[2]                         over there, yonder
        tiea                           that ... over there
        tiel                           so, such, thus
        tiel estu                      amen
        tiel ... kiel                  as ... as, so ... as
        tien                           that way, there, thither, yonder
        tien ĉi                        here, hither, this way
        tien kaj reen                  back and forth
        ties                           that one's
        tifo                           typhus
        tifono                         typhoon
        tigo                           stalk, stem
        Tigriso                        Tigris
        tigro                          tiger
        tikli                          tickle
        tiko                           tic, twich
        tildo                          tilde
        tilia                          lime, lime-, of a lime-tree
        tilio                          lime-tree, linden-tree
        tima                           afraid
        timego                         fright
        timema                         afraid, timid
        timemulo                       coward, funk
        timi                           be afraid of, fear
        timida                         shy
        timiga                         horrible
        timigi                         frighten
        timigita                       afraid, fearful
        timkrio                        cry of distress
        timo                           fear
        Timormaro                      Timor Sea
        Timoro                         Timor
        timtremiga                     gaunt, ghastly, gruesome, horrible
        tindro                         tinder, punk
        tinedifektita                  moth-eaten
        tineo                          moth
        tinko                          tench
        tinkturi                       dye, tint
        tinkturo                       dye, tint
        tinti                          jingle, tinkle
        tintigi                        ring
        tintilo                        bell
        tinto                          jingle, tinkle
        tinuso                         tuna, tuna-fish, tunny
        tio                            that, that over there, those
        tio ĉi                         these, this, this here
        tio estas                      that is
        tio ne gravas                  it doesn't matter, never mind
        tiom                           that much
        tipa                           typical
        tipo                           type
        tiraneco                       tyranny
        tirani                         tyrannize
        Tirano                         Tirana
        Tirena Maro                    Tyrrhenian Sea
        tiri                           drag, draw, haul, pull, tug
        tirkesto                       drawer
        tirkestŝranko                  cabinet
        tirlevi                        hoist, hoist up
        titana                         titanic
        titanio                        titanium
        Titano                         Titan
        titoli                         title
        titolo                         degree, heading, title
        tiu                            that, that one, yonder
        tiu ĉi                         this
        tiu[1]                         that, that one
        tiu[2]                         that ... over there, that one over there
        tiuj                           those
        tiuj ĉi                        these
        tiun ĉi nokton                 tonight
        tiuokaze                       then
        Togo                           Togo, Togoland
        Tokjo                          Tokyo
        toleri                         endure, put up with, tolerate
        tolmarko                       laundry mark
        tolo                           linen
        tomato                         tomato
        tomatsuko                      tomato juice
        tomatsupo                      tomato-soup
        tombejo                        cemetery, graveyard
        tombo                          grave, tomb
        tombomonteto                   barrow, burial mound, grave-mound, tumulus
        tondi                          clip, cut, shear
        tondilo                        scissors
        tondri                         thunder
        tondro                         thunder
        tono                           tone
        tonsilo                        tonsil
        topazo                         topaz
        torako                         chest
        torĉo                          torch
        tordi                          contort, twist
        torento                        torrent, volley
        torfo                          peat
        Torino                         Turin
        torio                          thorium
        torni                          turn
        tornilo                        lathe
        tornistro                      backpack, knapsack
        torpedi                        torpedo
        torpedo                        torpedo
        torso                          trunk
        torto                          pie, tart
        torturado                      torture
        torturi                        torture
        torturisto                     torturer
        torturo                        torture
        Toskano                        Tuscany
        tosti                          toast, offer a toast
        tosto                          toast
        totala                         overall, total
        totale                         altogether, in all
        totaligi                       add together, total
        totalismo                      totalitarianism
        totemo                         totem
        tra                            through
        trabo                          beam, girder
        Tracio                         Thrace, Thracia
        tradicia                       traditional
        tradicio                       tradition
        traduki                        translate
        traduko                        translation
        trafa                          striking
        trafe dirita                   to the point
        trafe reaganta                 to the point
        trafi                          catch, hit, run across, strike
        trafiko                        traffic
        trafikreguloj                  traffic rules
        trafikŝtopiĝo                  traffic block, traffic congestion, traffic jam, traffic tie-up
        trafosi                        spade
        tragedia                       tragedy
        tragedio                       tragedy
        tragelafo                      bushbuck
        tragika                        tragic
        trairejo                       passage
        trairi                         cover, go through, pass through
        trajektorio                    trajectory
        trajnbileto                    railway ticket, train ticket
        trajno                         train
        trajto                         feature, trait
        trakeo                         windpipe
        trakino                        weever
        traknivela pasejo              level-crossing
        trako                          track
        traktado                       treatment
        traktaĵo                       treatise
        traktato                       treaty
        trakti                         deal with, handle, treat
        trakti kiel                    treat as
        trakti malbone                 abuse
        trakti per radioterapio        radiate
        trakto                         treatment
        traktoro                       tractor
        tramo                          streetcar, tram
        tranĉaĵo                       slice
        tranĉeo                        trench
        tranĉi                         cut, slice
        tranĉilo                       knife
        tranĉvundo                     cut
        trankvila                      calm, tranquil
        trankvileco                    calmness, composure
        trankviligi                    appease, calm, quiet, soothe, still
        trankviliĝi                    calm down
        tranoktejo                     accommodation
        tranokti                       pass the night, spend the night
        trans                          across, beyond, on the other side of
        transa flanko                  opposite side
        transakcio                     transaction
        transdoni                      convey, hand, hand over, pass
        transdono                      delivery
        transe                         opposite
        transformado                   transformation
        transformi                     transform
        transformo                     refashioning, transformation
        transi                         cross
        Transilvanio                   Transylvania
        transirejo                     level crossing
        transiri                       cross, go beyond, transfer
        transistoro                    transistor
        transitiva                     transitive
        Transkejo                      Transkei
        transloĝigi                    move
        transloĝiĝi                    move
        transloki                      move, transfer
        translokiĝi                    move
        transpago                      remittance, remittance of money
        transpasi                      go beyond
        transportbiciklo               carrier cycle, carrier tricycle
        transporti                     transport
        transportisto                  carrier, transporter
        transporto                     transport
        transskribo                    transliteration
        transŝarĝi                     shift on to
        transvala                      Transvaalian
        Transvalo                      Transvaal, the Transvaal
        transversa                     transverse
        transversaŝipe                 abeam
        transverse                     crosswise
        traserĉi                       search
        trasorbigi                     soak
        trastreki                      cross out
        trati                          make a draft
        trato                          draft
        travadi                        ford
        traverŝilo                     colander, strainer
        travestianto                   transvestite
        travestio                      travesty
        travidebla                     transparant
        travivaĵo                      experience
        travivi                        experience, live through, survive
        tre                            quite, very, very much
        tredi                          thread
        treege                         enormously, extremely
        trefo                          clubs
        trejni                         coach, train
        tremi                          quiver, shiver, tremble
        tremiga                        eerie, grisly, gruesome, macabre
        tremo                          quiver, quivering, vibration
        tremolo                        aspen
        trempi                         dip, immerse, soak
        treni                          drag, tow
        trenkablo                      towing-line
        trenŝipo                       tug, tugboat
        treti                          trample on, tread
        trezoro                        treasure
        tri                            three
        tria                           third
        triangula                      triangular
        triangulo                      triangle
        Triaso                         Triassic
        triba                          tribal
        tribo                          tribe
        tribordo                       starboard
        tribunalo                      tribunal
        tribuno                        rostrum, speaker's platform
        tribunuso                      tribune
        tributi                        pay tribute
        tributo                        tribute
        triciklo                       tricycle
        tridek                         thirty
        Triero                         Treves
        Triesto                        Trieste
        trifingra bradipo              ai, three-toed sloth
        trifoje                        three times
        trifolio                       clover, shamrock
        trigonometrio                  trigonometry
        trikfadeno                     worsted
        triki                          knit
        trikilo                        knitting needle
        trikoloreto                    pansy
        trili                          trill
        triliono                       trillion
        trilo                          trill
        trilogio                       trilogy
        trinkaĵo                       beverage, drink
        trinkebla                      drinkable
        trinkebla akvo                 drinking-water
        trinkeja servisto              barman, bartender
        trinkeja tabureto              bar stool
        trinkejo                       bar, pub
        trinki                         drink
        trinkmono                      tip
        triobla                        triple
        triono                         third
        Tripolo                        Tripoli
        trista                         dismal, dreary, sad
        triste                         sadly
        tristigi                       afflict, distress, grieve
        tritiko                        wheat
        Tritono                        Triton
        triumfi                        triumph
        triumfo                        triumph
        Triunuo                        Trinity
        triviala                       commonplace, course, vulgar
        tro                            too, too much
        tro multa                      too much
        troa                           undue
        trodorloti                     spoil
        trodorlotita                   spoiled
        trogo                          manger, trough
        troigi                         exaggerate
        trojano                        Trojan
        Trojo                          Troy
        trolebuso                      trolleybus, trolley-bus
        troleo                         trolley
        trombono                       trombone
        trompa                         deceitful
        trompanto                      cheat, deceiver, imposter
        trompeti                       take in
        trompi                         cheat, deceive
        trompita                       cheated, deceived
        trompito                       deceived person, deceived one
